Country,Nation,Area,City,Region
United Kingdom,England,Lincolnshire,Lincoln,East Midlands
United Kingdom,Northern Ireland,Lisburn and Castlereagh,Lisburn,Northern Ireland
United Kingdom,England,Merseyside,Liverpool,North West
United Kingdom,Scotland,West Lothian,Livingston,Scotland
United Kingdom,Scotland,Argyll and Bute Council,Lochgilphead,Scotland
United Kingdom,Scotland,East Renfrewshire Council,Loganswell,Scotland
United Kingdom,England,Greater London,London,Greater London
United Kingdom,England,Leicestershire,Loughborough,East Midlands
United Kingdom,England,Luton,Luton,East of England
United Kingdom,England,Windsor and Maidenhead,Maidenhead,South East
United Kingdom,England,Greater Manchester,Manchester,North West
United Kingdom,England,Nottinghamshire,Mansfield,East Midlands
United Kingdom,Scotland,Scottish Borders,Melrose,Scotland
United Kingdom,Wales,Merthyr Tydfil County Borough,Merthyr Tydfil,W
United Kingdom,England,Middlesbrough,Middleborough,North East
United Kingdom,England,Milton Keynes,Milton Keynes,South East
United Kingdom,Wales,Flintshire,Mold,Wales
United Kingdom,Wales,Monmouthshire,Monmouth,Wales
United Kingdom,England,West Berkshire,Newbury,South East
United Kingdom,Scotland,North Lanarkshire,Newmains,Scotland
United Kingdom,Wales,Newport,Newport,Wales
United Kingdom,Northern Ireland,"Newry, Mourne and Down",Newry,Northern Ireland
United Kingdom,Wales,Powys,Newtown,Wales
United Kingdom,England,Northamptonshire,Northampton,East Midlands
United Kingdom,England,Norfolk,Norwich,East of England
United Kingdom,England,Nottingham,Nottingham,East Midlands
United Kingdom,England,Warwickshire,Nuneaton,West Midlands
United Kingdom,England,Rutland,Oakham,East Midlands
United Kingdom,Northern Ireland,Fermanagh and Omagh,Omagh,Northern Ireland
United Kingdom,England,Oxfordshire,Oxford,South East
United Kingdom,England,Torbay,Paignton,South West
United Kingdom,Scotland,Renfrewshire,Paisley,Scotland
United Kingdom,Scotland,Perth and Kinross,Perth,Scotland
United Kingdom,England,Peterborough,Peterborough,East of England
United Kingdom,England,Plymouth,Plymouth,South East
United Kingdom,Wales,Neath Port Talbot Principle Area,Port Talbot,Wales
United Kingdom,Wales,Gwynedd,Porthmadog,Wales
United Kingdom,England,Portsmouth,Portsmouth,South East
United Kingdom,England,Lancashire,Preston,North West
United Kingdom,England,Reading,Reading,South East
United Kingdom,England,Redcar and Cleveland,Redcar,North East
United Kingdom,England,Medway,Rochester,South East
United Kingdom,Scotland,Midlothian,Roslin,Scotland
United Kingdom,Scotland,Shetland Islands,Sandwick,Scotland
United Kingdom,England,North Yorkshire,Scarborough,Yorkshire and the Humber
United Kingdom,England,North Lincolnshire,Scunthorpe,Yorkshire and the Humber
United Kingdom,England,Isle of Wight,Shanklin,South East
United Kingdom,England,South Yorkshire,Sheffield,Yorkshire and the Humber
United Kingdom,England,Shropshire,Shrewsbury,West Midlands
United Kingdom,England,Slough,Slough,South East
United Kingdom,England,Southampton,Southampton,South East
United Kingdom,England,Southend-on-Sea,Southend-on-Sea,East of England
United Kingdom,Wales,Pembrokeshire,St Davids,Wales
United Kingdom,England,Cornwall,St Ives,South West
United Kingdom,England,Staffordshire,Stafford,West Midlands
United Kingdom,Scotland,Stirling,Stirling,Scotland
United Kingdom,England,Stockton-on-Tees,Stockton-on-Tees,North East
United Kingdom,England,Stoke-on-Trent,Stoke-on-Trent,West Midlands
United Kingdom,Scotland,Na h-Eileanan an Iar,Stornoway,Scotland
United Kingdom,England,Tyne and Wear,Sunderland,North East
United Kingdom,Wales,Swansea,Swansea,Wales
United Kingdom,England,Swindon,Swindon,South West
United Kingdom,England,Somerset,Taunton,South West
United Kingdom,England,Warrington,Warrington,North West
United Kingdom,England,Hertfordshire,Watford,East of England
United Kingdom,England,North Somerset,Weston-super-mare,South West
United Kingdom,England,Borough of Halton,Widnes,North West
United Kingdom,England,Wokingham,Wokingham,South East
United Kingdom,England,Worcestershire,Worcester,West Midlands
United Kingdom,Wales,Wrexham Principal Area,Wrexham,Wales
United Kingdom,England,York,York,Yorkshire and the Humber
